id,price,number_of_reviews,No_of_days_booked_per_year,occupany_rate
10285181,85,188,255.0,70.0
10287100,130,40,88.0,24.0
10296129,80,0,0.0,0.0
10299351,110,14,37.0,10.0
10299850,120,50,91.0,25.0
10300387,36,1,4.0,1.0
10301232,56,1,4.0,1.0
10301504,76,28,55.0,15.0
10301587,200,6,15.0,4.0
10302256,83,180,255.0,70.0
10302785,116,10,29.0,8.0
10303101,73,113,208.0,57.0
10312472,100,0,0.0,0.0
10316023,85,13,26.0,7.0
10316599,60,0,0.0,0.0
10317089,129,2,4.0,1.0
10317669,263,45,33.0,9.0
10318885,450,6,11.0,3.0
10320808,110,70,124.0,34.0
10324644,42,0,0.0,0.0
10335206,100,59,91.0,25.0
10338786,76,16,7.0,2.0
10339779,125,149,219.0,60.0
10340129,134,305,255.0,70.0
10340778,325,95,164.0,45.0
10341476,65,12,7.0,2.0
10341863,36,47,73.0,20.0
10344405,125,260,255.0,70.0
10344666,76,0,0.0,0.0
10345429,29,16,22.0,6.0
10347311,37,5,11.0,3.0
10347682,121,0,0.0,0.0
10347692,45,0,0.0,0.0
10349724,134,1,8.0,2.3
10350017,65,20,40.0,11.0
10363473,199,13,18.0,5.0
10365546,153,0,0.0,0.0
10367209,100,86,128.0,35.0
10368339,291,1,8.0,2.3
10369368,70,87,95.0,26.0
10370435,49,3,7.0,2.0
10370457,190,29,55.0,15.0
10371826,37,1,5.0,1.3
10373660,46,17,37.0,10.0
10374144,96,159,241.0,66.0
10387909,199,2,4.0,1.0
10389436,76,113,150.0,41.0
10389900,195,10,24.0,6.7
10392136,134,36,91.0,25.0
10392391,75,28,58.0,16.0
10393291,124,3,7.0,2.0
10393715,150,38,33.0,9.0
10395341,80,8,18.0,5.0
10395527,96,1,111.0,30.3
10396614,76,0,0.0,0.0
10397319,110,1,12.0,3.3
10411112,105,55,80.0,22.0
10417027,56,19,51.0,14.0
10418031,45,28,58.0,16.0
10420049,129,0,0.0,0.0
10421419,65,0,0.0,0.0
10435564,250,25,18.0,5.0
10436797,70,0,0.0,0.0
10438182,215,235,255.0,70.0
10438565,39,58,88.0,24.0
10439391,82,4,17.0,4.7
10439682,29,0,0.0,0.0
10439977,100,0,0.0,0.0
10440278,60,5,11.0,3.0
10440343,190,57,183.0,50.0
10441163,130,0,0.0,0.0
10441608,121,41,40.0,11.0
10444411,65,21,44.0,12.0
10446808,82,0,0.0,0.0
10454163,400,17,22.0,6.0
10455409,57,147,255.0,70.0
10456524,141,1,6.0,1.7
10456840,70,1,0.0,0.0
10459998,100,0,0.0,0.0
10460039,37,6,17.0,4.7
10474867,150,17,37.0,10.0
10474904,76,28,18.0,5.0
10475320,175,0,0.0,0.0
10475404,59,13,22.0,6.0
10475852,100,179,255.0,70.0
10476358,349,0,0.0,0.0
10476673,2241,0,0.0,0.0
10476825,90,152,252.0,69.0
10478071,396,7,22.0,6.0
10478800,145,97,142.0,39.0
10479107,995,6,18.0,5.0
10493856,29,1,4.0,1.0
10498210,275,42,69.0,19.0
10498513,134,22,49.0,13.3
10499368,80,40,51.0,14.0
10501422,79,32,69.0,19.0
10501612,36,18,40.0,11.0
10502522,161,59,77.0,21.0
10503462,275,0,0.0,0.0
10503737,45,3,7.0,2.0
10507682,121,9,11.0,3.0
10508403,85,10,22.0,6.0
10510484,116,1,4.0,1.0
10524976,48,5,15.0,4.0
10526854,170,1,4.0,1.0
10526905,121,244,255.0,70.0
10528061,105,33,51.0,14.0
10528993,150,5,7.0,2.0
10531014,216,262,255.0,70.0
10531333,71,0,0.0,0.0
10531441,80,2,4.0,1.0
10534169,59,12,18.0,5.0
10540365,56,64,69.0,19.0
10545798,110,65,106.0,29.0
10545877,32,1,11.0,3.0
10549304,297,7,19.0,5.3
10549415,110,53,73.0,20.0
10550795,131,5,15.0,4.0
10551307,79,18,37.0,10.0
10555504,150,27,51.0,14.0
10572131,56,5,11.0,3.0
10572460,26,2,4.0,1.0
10573212,39,54,88.0,24.0
10575372,179,7,15.0,4.0
10575781,110,22,29.0,8.0
10576882,79,49,88.0,24.0
10577344,141,165,255.0,70.0
10579002,164,229,255.0,70.0
10579426,60,99,204.0,56.0
10595314,399,23,47.0,13.0
10595535,331,28,47.0,13.0
10597064,110,4,73.0,20.0
10615210,60,2,4.0,1.0
10616260,210,4,15.0,4.0
10616480,56,30,62.0,17.0
10618419,460,2,8.0,2.3
10619232,85,4,7.0,2.0
10619787,48,25,51.0,14.0
10620388,150,0,0.0,0.0
10634204,79,1,4.0,1.0
10638246,215,3,7.0,2.0
10638321,200,1,4.0,1.0
10638537,77,0,0.0,0.0
10639043,46,63,213.0,58.3
10639999,70,0,0.0,0.0
10641072,100,7,15.0,4.0
10642982,134,60,99.0,27.0
10656389,250,36,51.0,14.0
10657157,70,10,22.0,6.0
10658273,570,12,12.0,3.3
10658435,29,18,37.0,10.0
10660658,94,1,6.0,1.7
10660717,49,2,7.0,2.0
10662049,150,0,0.0,0.0
10667010,110,13,30.0,8.3
10677458,173,149,255.0,70.0
10681693,300,1,11.0,3.0
10683401,349,0,0.0,0.0
10684699,141,23,47.0,13.0
10685598,75,3,7.0,2.0
10685799,209,121,175.0,48.0
10685806,45,0,0.0,0.0
10686837,100,1,4.0,1.0
10688046,70,0,0.0,0.0
10688801,120,0,0.0,0.0
10692177,159,52,91.0,25.0
10693447,88,60,95.0,26.0
10694660,105,125,255.0,70.0
10706238,148,9,22.0,6.0
10706821,246,0,0.0,0.0
10707631,175,0,0.0,0.0
10708958,495,10,26.0,7.0
10710003,270,0,0.0,0.0
10710371,130,115,197.0,54.0
10714043,49,1,6.0,1.7
10714624,850,0,0.0,0.0
10714921,60,4,0.0,0.0
10716709,59,5,11.0,3.0
10730200,49,1,8.0,2.3
10730512,141,0,0.0,0.0
10732776,649,0,0.0,0.0
10736270,40,35,80.0,22.0
10749915,130,84,255.0,70.0
10751950,75,11,22.0,6.0
10752945,281,17,68.0,18.7
10754236,50,3,7.0,2.0
10756074,76,205,255.0,70.0
10758875,440,3,7.0,2.0
10759480,219,15,55.0,15.0
10770086,34,1,255.0,70.0
10771590,148,19,255.0,70.0
10773008,199,212,255.0,70.0
10774385,151,0,0.0,0.0
10776864,61,32,62.0,17.0
10788512,280,20,18.0,5.0
10790200,93,89,18.0,5.0
10791241,124,196,230.0,63.0
10791996,148,436,255.0,70.0
10792695,179,4,12.0,3.3
10793149,94,147,230.0,63.0
10793712,269,122,208.0,57.0
10794556,65,1,4.0,1.0
10797510,136,162,153.0,42.0
10809250,59,0,0.0,0.0
10811146,219,143,255.0,70.0
10811251,68,0,0.0,0.0
10812955,125,4,7.0,2.0
10813331,25,5,6.0,1.7
10814318,90,8,18.0,5.0
10834585,60,6,15.0,4.0
10834973,42,28,33.0,9.0
10836749,74,6,11.0,3.0
10838673,117,70,183.0,50.0
10838892,250,1,4.0,1.0
10840932,250,4,26.0,7.0
10841395,75,8,18.0,5.0
10842883,110,0,0.0,0.0
10842962,110,98,139.0,38.0
10845752,97,2,0.0,0.0
10846372,138,113,204.0,56.0
10859819,185,154,255.0,70.0
10860562,155,27,58.0,16.0
10865271,110,6,11.0,3.0
10865612,325,74,139.0,38.0
10882334,400,3,12.0,3.3
10884166,85,0,0.0,0.0
10884537,76,13,97.0,26.7
10885030,90,8,30.0,8.3
10885326,199,4,7.0,2.0
10886349,90,4,7.0,2.0
10886956,36,35,51.0,14.0
10887331,349,1,8.0,2.3
10887890,179,166,255.0,70.0
10888138,100,10,15.0,4.0
10891511,90,2,4.0,1.0
10892800,80,1,4.0,1.0
10909671,161,32,51.0,14.0
10909919,53,181,255.0,70.0
10911122,25,13,49.0,13.3
10913296,100,293,255.0,70.0
10925075,90,50,55.0,15.0
10927997,50,0,0.0,0.0
10930961,127,64,135.0,37.0
10933054,111,98,193.0,53.0
10933153,105,24,54.0,14.7
10933478,85,19,40.0,11.0
10947059,128,0,0.0,0.0
10949149,76,2,4.0,1.0
10949362,240,148,197.0,54.0
10949832,820,0,0.0,0.0
10952182,139,107,161.0,44.0
10952505,76,0,0.0,0.0
10968150,131,81,135.0,37.0
10969139,179,4,73.0,20.0
10969171,25,0,0.0,0.0
10969286,74,74,117.0,32.0
10970191,445,46,69.0,19.0
10970881,119,58,66.0,18.0
10972048,60,1,4.0,1.0
10976455,100,26,44.0,12.0
10977028,65,47,95.0,26.0
10977721,88,1,7.0,2.0
10995123,45,2,4.0,1.0
10995597,100,0,0.0,0.0
10995744,199,2,7.0,2.0
10995867,46,0,0.0,0.0
10996872,114,36,128.0,35.0
10997416,49,1,4.0,1.0
10997439,112,4,7.0,2.0
10997982,47,6,15.0,4.0
10999583,99,237,255.0,70.0
11000446,150,1,8.0,2.3
11001163,70,58,201.0,55.0
11002390,76,30,62.0,17.0
11002483,94,77,11.0,3.0
11003922,138,164,245.0,67.0
11021751,60,0,0.0,0.0
11022860,49,1,4.0,1.0
11022878,198,66,139.0,38.0
11024159,150,0,0.0,0.0
11024640,39,40,80.0,22.0
11026887,121,57,102.0,28.0
11030026,70,276,255.0,70.0
11044003,179,204,255.0,70.0
11044092,800,0,0.0,0.0
11044202,593,7,18.0,5.0
11048570,90,1,4.0,1.0
11048985,169,38,84.0,23.0
11052615,134,86,117.0,32.0
11053838,40,0,0.0,0.0
11067769,127,0,0.0,0.0
11068753,130,54,77.0,21.0
11083357,145,83,255.0,70.0
11085492,65,0,0.0,0.0
11086978,49,2,4.0,1.0
11086993,150,76,146.0,40.0
11087777,53,212,255.0,70.0
11089187,114,118,255.0,70.0
11091306,40,54,66.0,18.0
11093948,45,51,77.0,21.0
11101997,70,18,40.0,11.0
11103770,175,63,99.0,27.0
11104559,80,4,7.0,2.0
11105419,119,13,22.0,6.0
11105423,100,17,44.0,12.0
11107348,99,9,15.0,4.0
11107368,100,35,77.0,21.0
11124106,179,9,15.0,4.0
11127158,199,0,0.0,0.0
11127212,148,205,255.0,70.0
11128819,190,52,91.0,25.0
11128851,45,1,4.0,1.0
11130505,128,188,255.0,70.0
11146690,60,5,26.0,7.0
11147589,71,38,62.0,17.0
11148572,60,0,0.0,0.0
11148659,70,50,80.0,22.0
11149726,54,0,0.0,0.0
11150157,495,0,0.0,0.0
11168204,134,9,15.0,4.0
11169073,199,6,15.0,4.0
11187859,150,87,193.0,53.0
11190489,36,214,255.0,70.0
11192069,199,226,255.0,70.0
11192985,161,0,0.0,0.0
11193289,100,23,40.0,11.0
11193356,130,9,18.0,5.0
11209142,46,0,0.0,0.0
11210985,138,70,255.0,70.0
11211832,349,1,17.0,4.7
11212028,70,0,0.0,0.0
11213801,102,58,106.0,29.0
11227038,450,7,7.0,2.0
11227319,90,2,4.0,1.0
11228382,62,161,255.0,70.0
11229728,70,0,0.0,0.0
11230809,250,9,15.0,4.0
11231162,179,248,255.0,70.0
11241639,117,7,15.0,4.0
11243123,120,1,4.0,1.0
11243951,90,127,208.0,57.0
11253761,275,4,15.0,4.0
11257871,141,178,255.0,70.0
11260114,71,3,7.0,2.0
11261017,298,11,15.0,4.0
11262362,49,10,4.0,1.0
11263038,179,2,7.0,2.0
11264021,199,7,24.0,6.7
11279416,128,49,112.0,30.7
11280258,110,95,139.0,38.0
11281233,49,1,4.0,1.0
11287337,100,137,212.0,58.0
11288658,141,20,55.0,15.0
11289374,54,0,0.0,0.0
11290187,99,2,4.0,1.0
11302539,420,153,255.0,70.0
11302699,198,55,77.0,21.0
11303220,3000,2,7.0,2.0
11303882,199,44,77.0,21.0
11304517,65,6,15.0,4.0
11308598,215,1,4.0,1.0
11320959,148,215,255.0,70.0
11324091,100,0,0.0,0.0
11325642,70,1,4.0,1.0
11326438,315,105,190.0,52.0
11327347,240,31,73.0,20.0
11328320,190,15,26.0,7.0
11331968,155,0,0.0,0.0
11336643,54,35,139.0,38.0
11341958,122,0,0.0,0.0
11342862,275,7,15.0,4.0
11343570,110,0,0.0,0.0
11343593,114,55,195.0,53.3
11344855,105,44,195.0,53.3
11346949,121,0,0.0,0.0
11347975,300,6,0.0,0.0
11360599,62,93,128.0,35.0
11361254,70,8,15.0,4.0
11363641,130,54,66.0,18.0
11364071,56,5,55.0,15.0
11364589,56,9,18.0,5.0
11367607,49,84,88.0,24.0
11376810,349,3,18.0,5.0
11377634,80,0,0.0,0.0
11378897,49,105,168.0,46.0
11379378,138,13,29.0,8.0
11379382,160,88,183.0,50.0
11380645,79,1,8.0,2.3
11381566,110,265,255.0,70.0
11382423,300,0,0.0,0.0
11393746,99,91,168.0,46.0
11395783,66,75,139.0,38.0
11397161,270,2,4.0,1.0
11397439,260,0,0.0,0.0
11399035,45,0,0.0,0.0
11399053,50,0,0.0,0.0
11400278,108,149,255.0,70.0
11401172,100,6,15.0,4.0
11402563,260,229,255.0,70.0
11408604,60,2,4.0,1.0
11419346,105,122,204.0,56.0
11420383,100,67,151.0,41.3
11421097,85,9,29.0,8.0
11421217,187,216,255.0,70.0
11421521,29,5,26.0,7.0
11422040,1056,1,0.0,0.0
11422525,190,17,22.0,6.0
11422548,76,56,88.0,24.0
11423338,36,1,4.0,1.0
11423537,127,69,102.0,28.0
11425253,49,53,84.0,23.0
11425650,76,86,172.0,47.0
11425661,94,3,26.0,7.0
11426709,175,3,7.0,2.0
11426714,45,72,131.0,36.0
11429372,65,39,91.0,25.0
11442062,175,43,88.0,24.0
11445168,134,42,91.0,25.0
11446031,280,158,252.0,69.0
11446905,219,175,255.0,70.0
11459514,49,1,4.0,1.0
11460227,219,56,88.0,24.0
11461648,70,14,49.0,13.3
11461965,121,0,0.0,0.0
11462936,1501,20,18.0,5.0
11464171,130,1,4.0,1.0
11466595,108,188,255.0,70.0
11478776,185,136,255.0,70.0
11478962,85,3,7.0,2.0
11482316,180,90,175.0,48.0
11482676,158,64,62.0,17.0
11483097,59,222,255.0,70.0
11483150,90,2,0.0,0.0
11483621,121,0,0.0,0.0
11484052,65,5,11.0,3.0
11484343,46,0,0.0,0.0
11485234,130,5,11.0,3.0
11485575,100,1,4.0,1.0
11493138,70,1,4.0,1.0
11497224,125,0,0.0,0.0
11497676,70,2,4.0,1.0
11499229,90,7,18.0,5.0
11499422,49,13,29.0,8.0
11499519,100,6,15.0,4.0
11503114,141,106,190.0,52.0
11510922,179,125,179.0,49.0
11514034,180,0,0.0,0.0
11514727,178,16,51.0,14.0
11514942,122,65,80.0,22.0
11515009,175,14,44.0,12.0
11516004,250,7,15.0,4.0
11516801,76,92,175.0,48.0
11517517,110,130,223.0,61.0
11518257,90,0,0.0,0.0
11518408,65,316,255.0,70.0
11518718,104,2,4.0,1.0
11518855,325,24,33.0,9.0
11529316,64,2,8.0,2.3
11530203,80,2,4.0,1.0
11533838,60,0,0.0,0.0
11534060,121,0,0.0,0.0
11534191,280,0,0.0,0.0
11534461,199,32,73.0,20.0
11534623,80,113,204.0,56.0
11534907,68,108,179.0,49.0
11537840,145,48,131.0,36.0
11554062,394,5,17.0,4.7
11556303,135,2,4.0,1.0
11556571,29,31,55.0,15.0
11557199,199,0,0.0,0.0
11570127,179,2,37.0,10.0
11572778,110,221,255.0,70.0
11574732,105,25,94.0,25.7
11574856,355,0,0.0,0.0
11574874,90,0,0.0,0.0
11574935,300,0,0.0,0.0
11575012,80,0,0.0,0.0
11575658,145,43,80.0,22.0
11577872,250,4,11.0,3.0
11592002,110,38,88.0,24.0
11593188,558,7,12.0,3.3
11595231,144,54,95.0,26.0
11596522,90,5,11.0,3.0
11597963,249,0,0.0,0.0
11608096,190,39,88.0,24.0
11608875,151,2,4.0,1.0
11613757,93,0,0.0,0.0
11613763,60,0,0.0,0.0
11623509,76,102,215.0,59.0
11629198,161,151,223.0,61.0
11630720,73,0,0.0,0.0
11638210,36,1,110.0,30.0
11639115,85,9,22.0,6.0
11640119,219,2,4.0,1.0
11641571,99,9,51.0,14.0
11641904,121,23,47.0,13.0
11644182,29,0,0.0,0.0
11644823,70,88,146.0,40.0
11646310,23,4,219.0,60.0
11656465,46,45,102.0,28.0
11656757,80,87,113.0,31.0
11657468,65,3,7.0,2.0
11657678,53,18,40.0,11.0
11658617,192,5,4.0,1.0
11661039,210,1,6.0,1.7
11677759,250,0,0.0,0.0
11678404,325,14,34.0,9.3
11678783,70,2,4.0,1.0
11680831,85,0,0.0,0.0
11681388,280,88,110.0,30.0
11681389,71,130,215.0,59.0
11684301,167,0,0.0,0.0
11684662,48,13,22.0,6.0
11696773,45,2,4.0,1.0
11697752,60,0,0.0,0.0
11698560,70,0,0.0,0.0
11698753,134,2,7.0,2.0
11700001,450,1,8.0,2.3
11700167,36,0,0.0,0.0
11701341,90,1,6.0,1.7
11718326,91,0,0.0,0.0
11718984,99,21,43.0,11.7
11721279,70,0,0.0,0.0
11722458,28,0,0.0,0.0
11722602,60,109,245.0,67.0
11723107,40,0,0.0,0.0
11737629,50,0,0.0,0.0
11740113,70,9,22.0,6.0
11741053,74,2,4.0,1.0
11743987,49,1,4.0,1.0
11752599,349,49,58.0,16.0
11756644,385,56,77.0,21.0
11758409,79,2,4.0,1.0
11759113,1000,3,7.0,2.0
11759444,170,3,26.0,7.0
11761386,138,27,51.0,14.0
11761776,175,78,106.0,29.0
11762465,29,57,88.0,24.0
11762629,29,57,88.0,24.0
11763442,36,29,47.0,13.0
11763524,29,68,120.0,33.0
11763533,134,0,0.0,0.0
11763961,100,0,0.0,0.0
11763968,161,56,77.0,21.0
11764833,140,28,103.0,28.3
11766707,280,0,0.0,0.0
11777065,210,0,0.0,0.0
11778972,43,37,62.0,17.0
11779329,110,2,6.0,1.7
11786495,114,15,49.0,13.3
11798679,105,207,255.0,70.0
11802035,300,123,255.0,70.0
11803500,300,0,0.0,0.0
11804041,501,0,0.0,0.0
11804959,56,105,168.0,46.0
11805006,81,5,73.0,20.0
11809561,85,1,4.0,1.0
11823520,161,2,4.0,1.0
11825606,401,0,0.0,0.0
11827962,90,0,0.0,0.0
11831932,59,2,4.0,1.0
11833716,165,17,37.0,10.0
11833863,90,10,22.0,6.0
11847680,76,53,99.0,27.0
11848521,150,153,245.0,67.0
11849384,300,0,0.0,0.0
11851358,179,34,69.0,19.0
11852257,90,161,255.0,70.0
11855224,45,1,0.0,0.0
11857424,56,2,4.0,1.0
11868224,110,40,66.0,18.0
11869779,90,89,146.0,40.0
11870586,70,105,150.0,41.0
11871270,304,0,0.0,0.0
11872052,79,0,0.0,0.0
11872681,85,11,26.0,7.0
11873454,60,1,4.0,1.0
11873518,130,21,47.0,13.0
11873683,600,0,0.0,0.0
11873818,162,108,161.0,44.0
11874278,161,81,230.0,63.0
11875089,199,46,102.0,28.0
11875129,501,10,22.0,6.0
11875492,165,42,80.0,22.0
11875541,600,12,26.0,7.0
11877057,56,16,29.0,8.0
11877693,128,205,255.0,70.0
11877860,600,3,8.0,2.3
11892157,88,0,0.0,0.0
11894381,121,104,150.0,41.0
11903732,93,5,11.0,3.0
11909195,130,117,255.0,70.0
11912353,235,1,11.0,3.0
11912966,90,137,193.0,53.0
11915373,56,66,106.0,29.0
11916262,145,93,241.0,66.0
11916411,144,0,0.0,0.0
11927226,240,0,0.0,0.0
11927482,114,251,255.0,70.0
11927622,99,0,0.0,0.0
11930246,78,50,91.0,25.0
11930431,134,297,255.0,70.0
11931294,88,0,0.0,0.0
11931382,56,2,4.0,1.0
11931678,60,8,18.0,5.0
11933372,125,83,117.0,32.0
11933737,240,19,26.0,7.0
11947374,230,40,40.0,11.0
11948125,60,0,0.0,0.0
11949227,195,51,69.0,19.0
11949407,199,116,179.0,49.0
11950055,121,1,4.0,1.0
11950276,49,2,4.0,1.0
11950617,150,0,0.0,0.0
11952007,600,0,0.0,0.0
11953960,84,1,6.0,1.7
11955262,210,80,183.0,50.0
11955499,141,16,47.0,13.0
11955692,399,11,15.0,4.0
11970864,80,0,0.0,0.0
11971652,298,101,153.0,42.0
11972666,49,3,4.0,1.0
11977035,125,93,161.0,44.0
11977472,94,2,4.0,1.0
11978646,100,8,22.0,6.0
11980023,39,0,0.0,0.0
11990341,65,2,4.0,1.0
11991135,80,0,0.0,0.0
11991523,99,8,43.0,11.7
11993824,39,0,0.0,0.0
11996040,70,15,33.0,9.0
11996896,80,3,7.0,2.0
11997741,150,0,0.0,0.0
11997917,145,164,252.0,69.0
11999648,65,1,4.0,1.0
12005489,53,165,255.0,70.0
12011713,199,30,51.0,14.0
12012249,199,12,7.0,2.0
12024834,122,1,17.0,4.7
12026593,224,7,15.0,4.0
12026768,141,2,8.0,2.3
12028321,349,0,0.0,0.0
12028424,70,3,7.0,2.0
12041610,49,2,4.0,1.0
12041660,128,64,113.0,31.0
12042003,61,0,0.0,0.0
12042858,50,0,0.0,0.0
12044104,270,0,0.0,0.0
12044493,150,21,99.0,27.0
12056415,381,0,0.0,0.0
12057458,94,44,92.0,25.3
12059636,250,219,255.0,70.0
12070069,100,0,0.0,0.0
12070675,169,56,91.0,25.0
12071603,199,7,12.0,3.3
12072691,90,11,22.0,6.0
12073784,70,279,255.0,70.0
12076596,87,3,7.0,2.0
12092183,48,6,0.0,0.0
12092896,219,2,0.0,0.0
12094200,37,59,77.0,21.0
12094513,219,7,15.0,4.0
12095274,121,0,0.0,0.0
12098122,199,0,0.0,0.0
12100235,1899,18,29.0,8.0
12101329,70,0,0.0,0.0
12115474,61,1,17.0,4.7
12115553,127,339,255.0,70.0
12116072,97,55,66.0,18.0
12117557,90,87,142.0,39.0
12120363,300,85,172.0,47.0
12120707,179,202,255.0,70.0
12133928,176,6,68.0,18.7
12134148,85,0,0.0,0.0
12135847,130,142,248.0,68.0
12136519,226,0,0.0,0.0
12136884,134,14,43.0,11.7
12137101,66,27,26.0,7.0
12137449,161,10,15.0,4.0
12138185,119,10,26.0,7.0
12138308,39,1,8.0,2.3
12142400,291,7,18.0,5.0
12153929,100,138,215.0,59.0
12156058,300,57,69.0,19.0
12158286,180,5,12.0,3.3
12158975,76,132,208.0,57.0
12163177,100,0,0.0,0.0
12163339,250,19,15.0,4.0
12164253,121,125,186.0,51.0
12167471,112,182,255.0,70.0
12174855,36,10,11.0,3.0
12176790,111,18,40.0,11.0
12177541,100,0,0.0,0.0
12180573,219,26,62.0,17.0
12181282,195,7,37.0,10.0
12190592,70,35,69.0,19.0
12191861,97,3,7.0,2.0
12192370,90,0,0.0,0.0
12192681,60,59,124.0,34.0
12193597,80,2,0.0,0.0
12208612,369,44,128.0,35.0
12208683,56,71,106.0,29.0
12209492,85,4,11.0,3.0
12210516,150,0,0.0,0.0
12210637,36,1,4.0,1.0
12210711,94,140,219.0,60.0
12211515,20,0,0.0,0.0
12211642,59,163,252.0,69.0
12212717,45,8,15.0,4.0
12215321,128,6,37.0,10.0
12217797,250,106,161.0,44.0
12217934,75,7,146.0,40.0
12231551,199,7,15.0,4.0
12236547,501,1,4.0,1.0
12237975,240,173,255.0,70.0
12251841,19,33,66.0,18.0
12253622,150,22,47.0,13.0
12255067,131,305,255.0,70.0
12255431,110,150,252.0,69.0
12255567,63,52,106.0,29.0
12256090,75,7,37.0,10.0
12256113,349,54,91.0,25.0
12256595,150,2,4.0,1.0
12259132,99,68,102.0,28.0
12259988,94,2,4.0,1.0
12261099,60,1,7.0,2.0
12275866,61,5,11.0,3.0
12279727,40,0,0.0,0.0
12280327,99,0,0.0,0.0
12284001,110,0,0.0,0.0
12291211,258,44,95.0,26.0
12293289,349,25,40.0,11.0
12295477,150,1,12.0,3.3
12311052,29,0,0.0,0.0
12314147,121,96,219.0,60.0
12327822,68,6,136.0,37.3
12328466,107,9,179.0,49.0
12329587,125,120,168.0,46.0
12330226,165,0,0.0,0.0
12330579,217,2,4.0,1.0
12330739,175,23,44.0,12.0
12345374,150,65,113.0,31.0
12345871,70,26,63.0,17.3
12347299,80,39,77.0,21.0
12347503,76,0,0.0,0.0
12348373,141,8,18.0,5.0
12349535,94,17,51.0,14.0
12350589,121,6,37.0,10.0
12351552,65,146,255.0,70.0
12360168,128,172,255.0,70.0
12365598,345,223,255.0,70.0
12366338,50,1,4.0,1.0
12366505,49,0,0.0,0.0
12371473,36,11,18.0,5.0
12372051,60,31,69.0,19.0
12373655,99,0,0.0,0.0
12374251,250,0,0.0,0.0
12384627,99,4,7.0,2.0
12388770,105,1,4.0,1.0
12389431,175,50,47.0,13.0
12389918,145,95,110.0,30.0
12391829,240,5,15.0,4.0
12394853,70,58,62.0,17.0
12394882,48,80,168.0,46.0
12395301,70,0,0.0,0.0
12398495,250,1,4.0,1.0
12412968,70,49,69.0,19.0
12419310,110,159,255.0,70.0
12420537,134,6,15.0,4.0
12436060,130,0,0.0,0.0
12437007,127,363,255.0,70.0
12437852,130,0,0.0,0.0
12439388,70,77,146.0,40.0
12441359,43,7,15.0,4.0
12455122,110,335,255.0,70.0
12469746,51,5,15.0,4.0
12472203,42,44,58.0,16.0
12472893,99,0,0.0,0.0
12472991,258,129,226.0,62.0
12474171,150,1,8.0,2.3
12475659,121,4,11.0,3.0
12476081,49,0,0.0,0.0
12476647,150,2,4.0,1.0
12479630,130,33,88.0,24.0
12481552,94,0,0.0,0.0
12494162,100,2,17.0,4.7
12496680,65,1,6.0,1.7
12497937,250,1,4.0,1.0
12498038,56,51,73.0,20.0
12503135,170,120,197.0,54.0
12503970,93,4,4.0,1.0
12505222,221,0,0.0,0.0
12505429,300,1,4.0,1.0
12507693,298,163,255.0,70.0
12512063,124,181,255.0,70.0
12522064,100,0,0.0,0.0
12522973,190,176,255.0,70.0
12523688,85,71,95.0,26.0
12523896,226,53,95.0,26.0
12524423,29,0,0.0,0.0
12525231,49,0,0.0,0.0
12528535,325,102,161.0,44.0
12528776,79,0,0.0,0.0
12546573,136,120,255.0,70.0
12548473,40,0,0.0,0.0
12549699,71,27,62.0,17.0
12552038,150,8,18.0,5.0
12553753,76,4,0.0,0.0
12555966,250,28,73.0,20.0
12567608,150,6,15.0,4.0
12568487,83,94,157.0,43.0
12572146,85,21,47.0,13.0
12572334,53,206,255.0,70.0
12576779,161,1,4.0,1.0
12591181,300,0,0.0,0.0
12597140,39,28,66.0,18.0
12598167,250,0,0.0,0.0
12599647,76,11,47.0,13.0
12602064,118,61,255.0,70.0
12612290,280,39,73.0,20.0
12614019,85,8,18.0,5.0
12614124,125,312,255.0,70.0
12615207,65,1,4.0,1.0
12615526,127,143,255.0,70.0
12617570,161,3,7.0,2.0
12631732,70,0,0.0,0.0
12632234,150,1,6.0,1.7
12635046,76,3,7.0,2.0
12635395,87,20,33.0,9.0
12635741,240,2,6.0,1.7
12637685,150,17,18.0,5.0
12654417,179,0,0.0,0.0
12654532,250,66,153.0,42.0
12657750,60,16,33.0,9.0
12658362,85,0,0.0,0.0
12658786,50,0,0.0,0.0
12661098,199,1,4.0,1.0
12667199,97,3,11.0,3.0
12669480,39,13,29.0,8.0
12675013,199,40,55.0,15.0
12681350,165,0,0.0,0.0
12684480,199,6,18.0,5.0
12685159,376,0,0.0,0.0
12685985,389,36,47.0,13.0
12686411,61,14,37.0,10.0
12688697,94,4,11.0,3.0
12689896,15,0,0.0,0.0
12695486,76,0,0.0,0.0
12711568,29,2,8.0,2.3
12713130,97,1,4.0,1.0
12715592,25,34,55.0,15.0
12716042,29,21,51.0,14.0
12717894,79,4,7.0,2.0
12718547,125,141,252.0,69.0
12719024,12624,1,12.0,3.3
12719506,160,0,0.0,0.0
12721757,114,190,255.0,70.0
12723934,28,0,0.0,0.0
12736588,2501,0,0.0,0.0
12740792,300,2,7.0,2.0
12740971,130,5,7.0,2.0
12741212,433,39,77.0,21.0
12741250,76,2,15.0,4.0
12741451,130,12,49.0,13.3
12748311,185,72,172.0,47.0
12765759,349,13,11.0,3.0
12767149,79,0,0.0,0.0
12771364,260,105,168.0,46.0
12781445,49,21,55.0,15.0
12784633,269,4,11.0,3.0
12786220,39,30,73.0,20.0
12786423,169,40,77.0,21.0
