id,price,number_of_reviews,No_of_days_booked_per_year,occupany_rate
964548,169,81,84.0,23.0
971698,175,30,11.0,3.0
978562,45,132,95.0,26.0
980716,56,55,40.0,11.0
982452,1025,0,0.0,0.0
984021,99,28,39.0,10.7
985656,48,18,15.0,4.0
986403,94,127,110.0,30.0
988366,63,200,212.0,58.0
990795,110,22,18.0,5.0
995402,160,65,58.0,16.0
997505,105,13,15.0,4.0
997517,1600,18,22.0,6.0
999067,99,703,255.0,70.0
999115,161,140,146.0,40.0
999305,42,5,7.0,2.0
1002094,169,108,146.0,40.0
1004260,99,1,7.0,2.0
1009526,85,42,47.0,13.0
1009577,87,393,255.0,70.0
1009764,121,0,0.0,0.0
1012462,218,9,12.0,3.3
1019243,76,42,51.0,14.0
1019387,110,67,58.0,16.0
1040236,110,27,18.0,5.0
1054730,85,10,26.0,7.0
1057401,76,46,77.0,21.0
1061196,250,65,51.0,14.0
1061439,73,65,58.0,16.0
1064493,94,173,186.0,51.0
1064503,45,28,29.0,8.0
1067281,338,3,51.0,14.0
1077126,36,45,58.0,16.0
1077193,198,17,30.0,8.3
1077907,40,22,44.0,12.0
1091282,250,105,113.0,31.0
1093015,80,471,255.0,70.0
1098759,90,115,95.0,26.0
1107707,349,6,26.0,7.0
1117938,100,10,26.0,7.0
1119307,298,72,77.0,21.0
1119442,235,0,0.0,0.0
1125294,80,55,55.0,15.0
1127751,124,360,255.0,70.0
1135875,90,234,208.0,57.0
1138262,501,14,15.0,4.0
1145231,80,7,17.0,4.7
1156949,70,35,33.0,9.0
1160278,195,1,24.0,6.7
1160839,170,34,47.0,13.0
1175222,99,10,37.0,10.0
1178955,175,6,12.0,3.3
1181117,349,0,0.0,0.0
1187940,114,45,55.0,15.0
1192689,400,111,112.0,30.7
1195462,65,130,195.0,53.3
1201338,413,131,135.0,37.0
1214103,190,18,18.0,5.0
1218977,141,55,122.0,33.3
1233439,535,7,6.0,1.7
1233605,57,181,164.0,45.0
1234561,49,23,44.0,12.0
1237261,90,125,91.0,25.0
1253219,150,3,17.0,4.7
1260741,190,15,15.0,4.0
1261894,139,110,255.0,70.0
1266244,179,14,15.0,4.0
1271310,90,22,33.0,9.0
1273572,250,17,26.0,7.0
1273635,107,1,0.0,0.0
1273768,85,39,170.0,46.7
1285174,219,45,51.0,14.0
1289142,110,10,11.0,3.0
1297829,90,18,18.0,5.0
1302086,206,133,110.0,30.0
1309634,175,77,84.0,23.0
1314080,150,22,22.0,6.0
1320949,45,30,33.0,9.0
1321215,190,15,11.0,3.0
1321782,49,17,22.0,6.0
1328207,121,141,128.0,35.0
1344172,85,1,10.0,2.7
1344239,60,41,29.0,8.0
1349937,189,54,55.0,15.0
1357290,110,82,80.0,22.0
1357916,39,67,55.0,15.0
1360263,199,73,69.0,19.0
1361329,168,56,62.0,17.0
1378758,79,6,7.0,2.0
1393371,76,56,63.0,17.3
1394156,230,10,7.0,2.0
1405749,100,58,51.0,14.0
1412320,165,41,37.0,10.0
1412818,179,52,47.0,13.0
1414187,195,83,73.0,20.0
1417716,68,135,128.0,35.0
1434853,179,9,18.0,5.0
1447595,168,240,219.0,60.0
1453575,780,17,94.0,25.7
1467803,49,41,85.0,23.3
1483791,270,33,44.0,12.0
1494540,141,222,204.0,56.0
1497122,121,340,255.0,70.0
1500207,61,72,69.0,19.0
1500598,155,117,142.0,39.0
1508587,123,14,15.0,4.0
1516337,99,0,0.0,0.0
1521505,94,65,55.0,15.0
1522751,65,15,18.0,5.0
1522907,65,19,18.0,5.0
1531039,49,0,0.0,0.0
1540666,65,88,110.0,30.0
1547261,125,104,95.0,26.0
1557274,110,18,44.0,12.0
1558434,110,13,15.0,4.0
1568136,168,112,120.0,33.0
1570830,130,23,18.0,5.0
1571073,85,2,7.0,2.0
1584356,94,47,66.0,18.0
1584385,90,3,4.0,1.0
1595093,80,19,37.0,10.0
1602671,45,74,88.0,24.0
1603051,128,498,255.0,70.0
1610201,199,192,164.0,45.0
1610316,150,17,22.0,6.0
1619718,76,38,43.0,11.7
1626393,695,1,0.0,0.0
1637733,150,46,44.0,12.0
1646891,128,8,7.0,2.0
1656742,975,7,12.0,3.3
1669526,138,98,131.0,36.0
1674688,94,102,88.0,24.0
1678964,85,44,37.0,10.0
1684534,114,22,22.0,6.0
1684869,195,83,88.0,24.0
1688748,124,243,212.0,58.0
1697412,83,265,255.0,70.0
1701914,79,0,0.0,0.0
1704240,70,0,0.0,0.0
1711594,130,93,95.0,26.0
1718295,130,51,51.0,14.0
1722074,148,54,62.0,17.0
1725821,862,89,91.0,25.0
1732959,210,118,95.0,26.0
1733049,250,317,255.0,70.0
1739234,106,232,212.0,58.0
1742469,60,25,26.0,7.0
1742539,84,70,77.0,21.0
1742705,130,63,66.0,18.0
1747852,80,139,128.0,35.0
1752177,62,230,212.0,58.0
1760258,199,21,26.0,7.0
1760620,121,138,161.0,44.0
1763507,161,1,8.0,2.3
1774105,130,8,11.0,3.0
1774428,65,215,223.0,61.0
1778493,100,70,69.0,19.0
1779098,190,111,112.0,30.7
1784111,70,18,22.0,6.0
1798355,190,66,66.0,18.0
1802291,270,6,7.0,2.0
1803021,345,101,117.0,32.0
1815508,94,398,255.0,70.0
1822180,175,133,172.0,47.0
1822923,99,1,0.0,0.0
1827577,60,4,4.0,1.0
1827624,185,17,22.0,6.0
1832876,190,195,190.0,52.0
1833118,165,2,4.0,1.0
1833368,199,12,15.0,4.0
1844970,65,132,120.0,33.0
1847426,250,282,255.0,70.0
1851883,76,77,120.0,33.0
1861584,995,1,12.0,3.3
1863200,76,106,120.0,33.0
1865611,950,24,22.0,6.0
1866009,80,14,11.0,3.0
1881121,39,50,80.0,22.0
1887354,56,51,40.0,11.0
1888716,121,0,0.0,0.0
1893907,190,57,55.0,15.0
1906621,501,20,18.0,5.0
1910020,102,39,58.0,16.0
1914471,226,23,22.0,6.0
1915939,199,197,208.0,57.0
1923545,128,262,255.0,70.0
1926575,150,5,7.0,2.0
1927160,150,4,5.0,1.3
1930659,94,20,26.0,7.0
1936710,80,9,11.0,3.0
1937502,99,1,0.0,0.0
1937582,65,204,183.0,50.0
1944585,70,63,62.0,17.0
1945220,320,16,24.0,6.7
1949180,291,24,33.0,9.0
1950412,255,69,62.0,17.0
1950793,121,105,66.0,18.0
1951892,76,84,134.0,36.7
1956184,49,57,44.0,12.0
1956956,94,46,47.0,13.0
1961688,119,19,22.0,6.0
1962469,159,50,78.0,21.3
1962932,37,0,0.0,0.0
1970196,150,21,26.0,7.0
1971685,124,4,255.0,70.0
1972216,219,0,0.0,0.0
1973680,280,59,44.0,12.0
1976057,151,0,0.0,0.0
1976702,179,3,4.0,1.0
1982842,121,64,117.0,32.0
1983690,246,44,47.0,13.0
1990245,130,25,29.0,8.0
1996245,100,2,6.0,1.7
1996739,90,0,0.0,0.0
1998982,94,10,11.0,3.0
2004528,148,7,4.0,1.0
2004786,57,1,7.0,2.0
2004964,179,9,146.0,40.0
2008920,81,5,11.0,3.0
2008926,93,0,0.0,0.0
2009201,127,288,255.0,70.0
2012112,136,6,11.0,3.0
2012694,240,28,33.0,9.0
2012730,376,0,0.0,0.0
2016956,88,15,15.0,4.0
2017250,120,1,0.0,0.0
2021375,168,7,34.0,9.3
2022600,148,29,37.0,10.0
2023433,110,2,4.0,1.0
2023583,100,0,0.0,0.0
2028297,159,297,255.0,70.0
2029771,110,42,51.0,14.0
2033648,65,63,66.0,18.0
2039072,60,0,0.0,0.0
2042579,179,230,223.0,61.0
2046410,179,20,29.0,8.0
2051170,179,79,69.0,19.0
2057259,300,0,0.0,0.0
2057845,100,87,141.0,38.7
2058578,100,55,66.0,18.0
2063596,36,0,0.0,0.0
2063915,100,0,0.0,0.0
2075836,121,208,193.0,53.0
2079865,151,219,255.0,70.0
2079904,139,272,255.0,70.0
2080097,133,0,0.0,0.0
2084207,182,10,22.0,6.0
2084419,94,70,92.0,25.3
2084948,48,96,99.0,27.0
2089641,250,12,24.0,6.7
2093612,53,0,0.0,0.0
2099179,77,89,95.0,26.0
2106502,70,152,142.0,39.0
2106830,280,97,80.0,22.0
2109077,226,38,69.0,19.0
2116349,56,30,37.0,10.0
2116990,550,92,80.0,22.0
2119988,145,277,255.0,70.0
2120443,60,95,58.0,16.0
2121038,189,47,183.0,50.0
2124756,90,8,11.0,3.0
2128253,114,30,97.0,26.7
2129665,59,11,22.0,6.0
2132281,120,16,26.0,7.0
2136008,90,134,117.0,32.0
2138891,115,60,58.0,16.0
2139835,142,326,255.0,70.0
2142619,168,39,51.0,14.0
2142709,25,90,102.0,28.0
2142770,145,1,0.0,0.0
2149952,230,92,66.0,18.0
2150200,209,12,15.0,4.0
2150936,53,32,40.0,11.0
2151175,53,1,0.0,0.0
2151369,45,9,22.0,6.0
2156314,158,29,33.0,9.0
2157135,68,29,29.0,8.0
2160594,48,71,73.0,20.0
2167910,99,246,255.0,70.0
2171818,80,12,11.0,3.0
2172127,400,26,29.0,8.0
2172440,80,213,255.0,70.0
2172536,219,53,62.0,17.0
2172759,226,82,255.0,70.0
2178434,794,96,73.0,20.0
2178480,54,376,255.0,70.0
2182285,179,156,164.0,45.0
2188849,845,11,11.0,3.0
2194291,60,3,4.0,1.0
2194510,150,0,0.0,0.0
2195725,145,1,0.0,0.0
2198704,65,26,55.0,15.0
2203729,60,77,73.0,20.0
2204701,80,22,26.0,7.0
2210740,68,4,4.0,1.0
2223016,144,0,0.0,0.0
2229375,260,32,44.0,12.0
2233901,200,294,255.0,70.0
2234455,198,44,111.0,30.3
2234483,121,11,15.0,4.0
2243503,76,106,91.0,25.0
2245554,76,278,255.0,70.0
2251468,125,195,157.0,43.0
2251522,192,29,29.0,8.0
2258136,134,359,255.0,70.0
2258577,110,15,18.0,5.0
2263264,141,7,11.0,3.0
2268691,49,153,150.0,41.0
2274415,85,6,7.0,2.0
2281045,59,21,43.0,11.7
2291815,70,365,255.0,70.0
2292052,105,301,255.0,70.0
2299675,85,44,51.0,14.0
2301728,219,18,22.0,6.0
2301999,161,128,117.0,32.0
